564035860098_new2_400.log,1564026723416.log,1564027299692.log,1564037713124.log,1564040012900.log,1564040435706.log,1564052081570.log,1564462932966.log,1564463268266.log,1564463661152.log,1564463980207.log,1564464182433.log,1564466253983.log,1564468461018.log,1564471188022.log,1564981396164.log,1565069728855.log,
915,1267.5,2017.5,2020,2075,582.5,1095,2720,890.5,1170,1600,3555,1851.5,3480.5,,2479,1648.5,
855,1237.5,2017.5,1945,1995,562.5,1060,3110,730.5,1215,1525,3555,1851.5,3480.5,,2484,1573.5,
785,1182.5,2017.5,1895,1965,677.5,985,3110,580.5,1265,1470,3555,1851.5,3480.5,,2484,1498.5,
715,1162.5,2017.5,2670,1995,1097.5,985,3110,430.5,1235,1405,3555,1851.5,,,2484,1438.5,
665,1087.5,2017.5,2640,1945,1087.5,955,3110,280.5,1200,1380,,1851.5,,,2494,1388.5,
585,1042.5,2017.5,2570,2010,1192.5,970,3110,260.5,1180,1315,,1851.5,,,2494,1388.5,
510,1082.5,2017.5,2490,1955,1192.5,970,3110,230.5,1150,1245,,1851.5,,,2494,1328.5,
455,1037.5,2014.5,2495,1865,1192.5,970,,130.5,1345,1210,,1851.5,,,2494,1278.5,
485,1037.5,2006.1,2495,1790,1202.5,945,,130.5,1270,1135,,1851.5,,,2444,1253.5,
410,1032.5,1960.4,2495,1720,1167.5,1060,,40.5,1200,1080,,1851.5,,,2364,1178.5,
340,977.5,2170.4,2495,1710,1212.5,1050,,230.5,1150,1010,,1851.5,,,2324,1108.5,
1270,957.5,2095.4,2495,1710,1232.5,975,,1190.5,1195,930,,1851.5,,,2324,1048.5,
1230,1407.5,2020.4,2495,1665,1227.5,900,,1120.5,1152,855,,1851.5,,,2324,988.5,
1150,1362.5,1945.4,2495,1630,1212.5,855,,980.5,1132,785,,1851.5,,,2299,1123.5,
1090,1407.5,1910.4,2475,1565,1217.5,790,,830.5,1124,715,,1851.5,,,2239,1058.5,
1035,1397.5,1910.4,2445,1515,1202.5,735,,720.5,1112,650,,1851.5,,,2164,1003.5,
1190,1372.5,1910.4,2450,1475,1177.5,820,,730.5,1116,610,,1851.5,,,2299,938.5,
1620,1372.5,1910.4,2365,1415,1192.5,1340,,750.5,1212,610,,1851.5,,,2534,958.5,
1560,1392.5,1910.4,2350,1325,1167.5,1345,,690.5,1200,530,,1851.5,,,2454,1453.5,
1505,1397.5,1910.4,2305,1300,1152.5,1330,,990.5,1200,820,,1851.5,,,2399,1828.5,
1945,1397.5,1910.4,2235,1285,1102.5,1505,,1030.5,1175,840,,1851.5,,,2314,1798.5,
1870,1407.5,1910.4,3185,1280,1047.5,1450,,2080.5,1135,760,,1851.5,,,2249,1733.5,
1795,1362.5,1910.4,3145,1280,1322.5,1375,,3880.5,1105,685,,1851.5,,,2289,1968.5,
1755,1337.5,1910.4,3110,1265,1352.5,1320,,3880.5,1065,1130,,1851.5,,,2224,2018.5,
1760,1277.5,1910.4,3110,1265,1277.5,1290,,3880.5,1000,1055,,1851.5,,,2154,2033.5,
2115,1712.5,1910.4,3110,1225,1202.5,1220,,3880.5,935,1230,,1851.5,,,2069,1988.5,
2175,1682.5,1910.4,3110,1220,1132.5,1210,,3880.5,915,1640,,1851.5,,,2034,1918.5,
2245,1597.5,1910.4,3120,1190,1052.5,1220,,3880.5,880,1695,,1851.5,,,2474,2148.5,
2200,1547.5,1910.4,3065,1165,1057.5,1185,,3880.5,805,1640,,1851.5,,,2454,2073.5,
2200,1472.5,1910.4,3060,1185,1032.5,1120,,3880.5,730,1625,,1851.5,,,2859,2013.5,
2175,1417.5,1985.4,3055,1155,962.5,1080,,3880.5,660,1625,,1851.5,,,2784,1943.5,
2175,1342.5,1985.4,3060,1130,942.5,1005,,3880.5,980,1625,,1851.5,,,2714,1878.5,
2175,1267.5,1965.4,3050,1120,862.5,930,,3880.5,1235,1625,,1851.5,,,2639,1798.5,
2170,1812.5,1930.4,3010,1175,787.5,920,,3880.5,1540,2175,,1851.5,,,2639,1743.5,
2185,1802.5,1915.4,3025,1110,717.5,880,,,1515,2175,,1851.5,,,3359,1673.5,
2085,1802.5,1850.4,3130,1330,657.5,880,,,1460,2175,,1851.5,,,3359,1658.5,
2060,2302.5,2065.4,3110,1370,607.5,835,,,1385,2175,,1851.5,,,3359,1698.5,
2070,2302.5,1990.4,3055,1395,557.5,930,,,1310,2175,,1851.5,,,3359,1883.5,
2095,2302.5,2030.4,2990,1430,487.5,980,,,1240,2175,,1851.5,,,3359,1833.5,
2105,2247.5,1915.4,2950,1605,457.5,1025,,,1215,2175,,1851.5,,,3359,1838.5,
2105,2587.5,1855.4,2955,1530,432.5,970,,,1140,2175,,1851.5,,,3359,1938.5,
2090,2512.5,1775.4,3115,1450,422.5,955,,,1055,3900,,1851.5,,,3359,1968.5,
2045,2587.5,1695.4,3050,1370,382.5,890,,,1025,3900,,1851.5,,,3359,1943.5,
2110,2542.5,1645.4,2985,1460,307.5,1010,,,1015,3890,,1851.5,,,3359,1868.5,
2090,2462.5,1600.4,3105,1425,232.5,1010,,,985,3855,,1851.5,,,3359,1823.5,
2015,2447.5,1585.4,3035,1415,157.5,1010,,,960,4315,,1851.5,,,3359,1808.5,
2320,2822.5,1670.4,2985,1330,82.5,1010,,,905,4290,,1851.5,,,3359,1778.5,
2295,2897.5,1615.4,2945,1765,7.5,1010,,,835,4290,,1851.5,,,3359,1723.5,
2265,2887.5,1550.4,2935,1680,2.5,1010,,,770,4290,,1851.5,,,3359,1683.5,
2500,2812.5,1965.4,2865,1725,2.5,1010,,,690,4290,,1851.5,,,3359,1618.5,
2425,2737.5,2410.4,2795,1660,2.5,1010,,,635,4290,,1851.5,,,3359,1588.5,
2640,2662.5,2380.4,2720,1620,2.5,995,,,565,,,1851.5,,,3359,1518.5,
2605,2622.5,2350.4,2695,1575,2.5,985,,,505,,,1851.5,,,3359,1483.5,
2935,2547.5,2290.4,2655,1500,2.5,985,,,580,,,1851.5,,,3359,1468.5,
3190,2502.5,2250.4,2695,1435,,985,,,505,,,1851.5,,,3359,1403.5,
3145,2432.5,2175.4,2680,1365,,985,,,430,,,1851.5,,,3359,1333.5,
3595,2367.5,2120.4,2655,1340,,985,,,360,,,1851.5,,,3359,1263.5,
3540,2312.5,2045.4,2580,1260,,985,,,295,,,1851.5,,,3359,1243.5,
3500,2257.5,2000.4,2505,1200,,985,,,275,,,1851.5,,,3359,1163.5,
3430,2182.5,2050.4,2435,1120,,985,,,525,,,1846.5,,,3359,1118.5,
3460,2127.5,2330.4,2415,1305,,985,,,450,,,1851.5,,,3359,1058.5,
3560,2052.5,2330.4,2340,1245,,985,,,370,,,1876.5,,,3359,1053.5,
