1565252613611.log,1565252899618.log,1565253630567.log,1565254384251.log,1565255177642.log,1565318254171.log,1565321934230.log,1565322807374.log,1565322966334.log,1565323287974.log,1565325303443.log,1565328768769.log,1565329424516.log,1565329644692.log,1565330197712.log,1565334495609.log,1565335268041.log,
345,2879.5,2125,790,1880,1525,2010,955,,625,2205,2771,,,1430,3095,2205,
330,2804.5,2095,775,1815,1895,1930,880,,650,2150,2861,,,1430,3045,2135,
335,2789.5,2135,890,1830,2095,2160,895,,630,2395,2791,,,1505,2995,2160,
360,2749.5,2090,835,1800,2010,2145,860,,600,2350,2731,,,1765,2980,2160,
375,2669.5,2205,785,2240,2050,2105,820,,600,2340,2686,,,1730,2945,2125,
375,2689.5,2130,740,2215,1960,2095,780,,525,2320,2641,,,1685,2875,2055,
435,2629.5,2065,805,2155,1940,2045,735,,440,2270,2616,,,1595,2810,1980,
450,2589.5,1985,740,2140,1865,2090,650,,395,2195,2681,,,1540,2735,1900,
375,2749.5,1915,680,2080,1810,2080,850,,370,2170,3106,,,1535,2660,1830,
375,2654.5,1850,605,2030,1790,2010,795,,290,2230,3101,,,1530,2595,1760,
530,2579.5,1820,575,1970,1715,1960,1360,,465,2230,3101,,,1515,2580,1690,
435,2514.5,1755,590,1900,1660,1885,1300,,390,2230,3051,,,1505,2495,1615,
560,2429.5,1695,555,1820,1625,1880,1450,,315,2230,3001,,,1525,2435,1565,
680,2554.5,1640,815,1830,1590,1830,1690,,260,2230,3001,,,1455,2425,,
600,2524.5,1645,780,1805,1590,1795,1835,,255,2230,,,,1415,2350,,
530,2449.5,1625,825,1740,1510,1730,1790,,215,2280,,,,1405,2300,,
975,2414.5,1560,755,1665,1460,1680,1720,,230,2280,,,,1440,2700,,
945,2339.5,1520,740,1620,1485,1620,1730,,230,2235,,,,1435,2650,,
1020,3314.5,1445,745,1675,1415,1565,1665,,230,2180,,,,1440,2640,,
990,3249.5,1370,725,1605,1335,1675,1585,,230,2430,,,,1400,2565,,
910,3249.5,1605,650,1570,1290,1660,1510,,240,2345,,,,1425,2910,,
935,3224.5,1530,575,1630,1290,1610,1510,,240,2275,,,,1430,2860,,
935,3224.5,1455,505,1570,1290,1580,1480,,195,2280,,,,1370,2780,,
885,3224.5,1410,430,1540,1290,1500,1405,,125,2225,,,,1270,2720,,
795,3224.5,1435,420,1465,1265,1435,1500,,80,2265,,,,1405,2675,,
755,3224.5,1385,385,1410,1195,1385,1450,,35,2300,,,,1330,2610,,
740,3224.5,1300,340,1450,1185,1315,1385,,0,2245,,,,1615,2530,,
660,3224.5,1230,265,1370,1190,1235,1360,,0,2235,,,,1960,2655,,
595,,1190,210,1290,1230,1235,1320,,0,2230,,,,1910,2575,,
510,,1240,140,1215,1295,1170,1245,,,2155,,,,1820,2545,,
435,,1195,65,1145,1295,1115,1170,,,2105,,,,1805,2525,,
375,,1105,0,1070,1295,1535,1095,,,3180,,,,1820,2490,,
350,,1165,0,1050,1295,1695,1050,,,3100,,,,1755,2410,,
255,,1070,0,995,1295,1645,965,,,3090,,,,1675,2340,,
180,,995,0,955,1290,1685,895,,,3090,,,,1600,2270,,
110,,1005,0,910,1220,1620,820,,,3090,,,,1545,2195,,
60,,1005,0,835,1180,1840,740,,,3090,,,,1475,2430,,
360,,1005,,780,1140,1770,675,,,3090,,,,1450,2800,,
360,,995,,745,1075,1730,620,,,3090,,,,1390,2775,,
325,,985,,670,1045,1670,610,,,3090,,,,1345,2755,,
550,,930,,905,955,1640,570,,,,,,,1280,2695,,
555,,895,,900,875,1640,500,,,,,,,1235,2620,,
490,,855,,825,815,1650,450,,,,,,,1165,2545,,
455,,855,,850,780,1650,385,,,,,,,1115,2490,,
345,,765,,815,730,1650,305,,,,,,,1035,2415,,
290,,745,,815,635,1650,1250,,,,,,,1035,2420,,
320,,720,,815,620,1650,1170,,,,,,,1080,2345,,
240,,695,,815,865,1585,1110,,,,,,,1080,2290,,
190,,745,,820,1080,1560,1345,,,,,,,1155,2285,,
110,,735,,770,1000,1500,1375,,,,,,,1155,2265,,
45,,680,,800,925,1450,1355,,,,,,,1195,2280,,
5,,600,,845,865,1395,1315,,,,,,,1195,2290,,
0,,625,,845,805,1400,1245,,,,,,,1205,2255,,
0,,1235,,840,810,1325,1210,,,,,,,1205,2190,,
0,,1205,,875,840,1255,1220,,,,,,,1205,2165,,
0,,1165,,870,940,1585,1170,,,,,,,1135,2130,,
0,,1085,,885,1140,1530,1145,,,,,,,1070,2110,,
,,1050,,885,1150,1450,1080,,,,,,,1015,2110,,
,,970,,860,1150,1450,1005,,,,,,,970,2080,,
,,935,,790,1150,1385,935,,,,,,,900,2040,,
,,855,,805,1150,1315,870,,,,,,,825,2035,,
,,805,,735,1150,1320,830,,,,,,,755,1990,,
,,755,,660,1150,1235,770,,,,,,,680,2190,,
,,715,,1035,1550,1250,685,,,,,,,595,2105,,
