1565252613611.log,1565252899618.log,1565253630567.log,1565254384251.log,1565255177642.log,1565318254171.log,1565321934230.log,1565322807374.log,1565322966334.log,1565323287974.log,1565325303443.log,1565328768769.log,1565329424516.log,1565329644692.log,1565330197712.log,1565334495609.log,1565335268041.log,
 3940, 4170.5, 4350, 2605, 4390, 4405, 3895, 4395,, 4335, 4660, 5582, 4080.6,, 4875, 14540, 5425,
 4025, 4445.5, 4420, 2770, 4945, 4540, 4225, 4490,, 4420, 4740, 5682,,, 5015, 14625, 5900,
 4170, 4510.5, 4495, 2870, 5045, 5455, 4300, 4590,, 4495, 4820, 5757,,, 5155, 14750, 5965,
 4265, 4580.5, 4560, 2930, 5120, 5895, 4395, 4660,, 4565, 4905, 5832,,, 5560, 14820, 6110,
 4390, 4670.5, 4660, 3020, 5195, 5960, 4470, 4830,, 4885, 4975, 5912,,, 5615, 14910, 6200,
 4520, 4780.5, 4760, 3160, 5400, 6045, 4595, 5160,, 4995, 5545, 6002,,, 5735, 15370, 6275,
 4595, 4880.5, 4830, 3235, 5480, 6120, 4680, 5220,, 5080, 5615, 6107,,, 6585, 15840, 6345,
 4610, 4960.5, 4985, 3310, 5575, 6190, 4790, 5305,, 5160, 5690, 6197,,, 6705, 15915, 6485,
 4610, 5030.5, 5065, 3380, 5680, 6280, 4880, 5385,, 5300, 5760, 6287,,, 6790, 16015, 6555,
 4610, 5110.5, 5140, 3605, 5780, 6360, 4980, 5465,, 5455, 5890, 6397,,, 6865, 16100, 6645,
 4610, 5185.5, 5225, 3685, 5855, 6420, 5055, 5550,, 5540, 5970, 6472,,, 6935, 16260, 6735,
 4620, 5810.5, 5490, 3770, 5930, 6515, 5160, 5610,, 5615, 6070, 6542,,, 6990, 16440, 6825,
 4695, 5895.5, 5575, 3850, 6005, 6590, 5255, 5690,, 5690, 6665, 6902,,, 7085, 16555, 6910,
 4795, 6010.5, 5625, 3930, 6080, 6985, 5350, 5845,, 5765, 6725, 7132,,, 7160, 16635, 6965,
 4840, 6085.5, 5675, 3965, 6145, 7465, 5430, 5930,, 5930, 6810, 7332,,, 7260, 16725, 7065,
 4905, 6190.5, 5825, 4240, 6320, 7785, 5770, 6055,, 6010, 7195, 7422,,, 7455, 16815, 7230,
 5040, 6280.5, 5890, 4345, 6390, 7870, 5875, 6100,, 6070, 7300, 7512,,, 7805, 16890, 7350,
 5065, 6360.5, 6175, 4395, 6950, 8030, 6005, 6220,, 6200, 7390, 7557,,, 7900, 17015, 7435,
 5065, 6500.5, 6250, 4460, 7065, 8120, 6095, 6350,, 6275, 7490, 7612,,, 7985, 17085, 7505,
 5125, 6580.5, 6315, 4685, 7155, 8220, 6175, 6425,, 6360, 7610, 7747,,, 8075, 17170, 7580,
 5290, 6660.5, 6395, 4750, 7260, 8295, 6340, 6510,, 6435, 7685, 7962,,, 8140, 17245, 7660,
 5365, 6920.5, 6465, 4830, 7340, 8370, 6480, 6830,, 6530, 7750, 8527,,, 8165, 17320, 7740,
 5485, 7015.5, 6550, 4905, 7410, 8470, 6550, 6915,, 6620, 7810, 8532,,, 8170, 17385, 7810,
 5720, 7090.5, 6640, 4995, 7490, 8545, 6640, 7610,, 6935, 7810, 8532,,, 8235, 17510, 7880,
 5815, 7155.5, 6735, 5150, 7560, 8640, 6715, 7680,, 7010, 7810, 8582,,, 8335, 17595, 7955,
 6080, 7240.5, 6795, 5215, 7640, 8725, 6800, 7860,, 7085, 7810, 8632,,, 8405, 17655, 8055,
 6350, 7505.5, 6860, 5625, 7770, 8830, 6920, 8100,, 7150, 7810, 8632,,, 8485, 17735,,
 6430, 7565.5, 7015, 5710, 7855, 8950, 7035, 8245,, 7295, 7810,,,, 8565, 17840,,
 6500, 7640.5, 7105, 5905, 7930, 9030, 7100, 8310,, 7375, 7860,,,, 8635, 17930,,
 7035, 7755.5, 7200, 5975, 8005, 9150, 7190, 8390,, 7390, 7860,,,, 8710, 18410,,
 7065, 7830.5, 7280, 6090, 8080, 9265, 7250, 8540,, 7390, 7915,,,, 8775, 18490,,
 7180, 8945.5, 7355, 6225, 8245, 9355, 7355, 8605,, 7390, 7990,,,, 8880, 18600,,
 7220, 9010.5, 7430, 6345, 8325, 9435, 7565, 8685,, 7390, 8340,,,, 8980, 18695,,
 7300, 9010.5, 7815, 6420, 8380, 9490, 7660, 8760,, 7400, 8435,,,, 9095, 19140,,
 7465, 9035.5, 7890, 6495, 8610, 9490, 7750, 8890,, 7400, 8505,,,, 9170, 19220,,
 7505, 9035.5, 7965, 6565, 8700, 9490, 7850, 8990,, 7445, 8640,,,, 9250, 19300,,
 7555, 9035.5, 8040, 6640, 8770, 9490, 7930, 9065,, 7535, 8715,,,, 9350, 19380,,
